
                           В  Е  Д  О  М  О  С  Т  Ь    В  Ы  Ч  И  С  Л  Е  Н  И  Я    К  О  О  Р  Д  И  Н  А  Т
-----------------------------------------------------------------------------------------------------------------------------------------------
|  Название   |  Длина  | Направ-  |  Угол   |  Высота  |   Дир.   |        П р и р а щ е н и я      |            К о о р д и н а т ы         |
|   точки     |  линии  |  ление   | наклона | наведения|   угол   |---------------------------------|----------------------------------------|
|             |    м.   |  г.мс    |   г.мс  |     м.   |   г.мс   |   DX, м. |   DY, м. |   DZ, м.  |     X, м.   |    Y, м.    |     Z, м.  |
|-------------|---------|----------|---------|----------|----------|----------|----------|-----------|--------- ---|-------------|------------|
|      1      |     2   |     3    |    4    |     5    |     6    |     7    |     8    |      9    |     10      |      11     |      12    |
|          2 |   14.460 | 186.4317 |  0.1215 |    1.640 | 186.4317 |  -14.361 |   -1.692 |    -0.077 |     -14.361 |      -1.692 |     -0.077 |
|         31 |   13.140 | 169.0427 | -0.2925 |    1.640 | 169.0427 |  -12.901 |    2.490 |    -0.241 |     -12.901 |       2.490 |     -0.241 |
|         30 |   14.140 | 156.0445 | -4.3344 |    1.600 | 156.0445 |  -12.885 |    5.715 |    -1.214 |     -12.885 |       5.715 |     -1.214 |
|         R1 |    9.540 | 144.2701 | -6.0945 |    1.600 | 144.2701 |   -7.717 |    5.515 |    -1.113 |      -7.717 |       5.515 |     -1.113 |
|         11 |    9.200 | 113.4052 | -5.5910 |    1.640 | 113.4052 |   -3.675 |    8.379 |    -1.088 |      -3.675 |       8.379 |     -1.088 |
|        30R |    6.110 |  53.1117 | -8.5246 |    1.640 |  53.1117 |    3.617 |    4.833 |    -1.072 |       3.617 |       4.833 |     -1.072 |
|         R0 |   18.550 |  16.2555 | -2.1656 |    1.640 |  16.2555 |   17.778 |    5.243 |    -0.868 |      17.778 |       5.243 |     -0.868 |
|          0 |   23.420 |  11.0924 | -1.4543 |    1.600 |  11.0924 |   22.967 |    4.529 |    -0.809 |      22.967 |       4.529 |     -0.809 |
|          0 |   26.780 |  12.4822 | -1.1814 |    1.600 |  12.4822 |   26.107 |    5.934 |    -0.698 |      26.107 |       5.934 |     -0.698 |
|         30 |   30.390 |   9.1527 | -1.2007 |    1.600 |   9.1527 |   29.986 |    4.888 |    -0.797 |      29.986 |       4.888 |     -0.797 |
|         11 |   31.160 |  14.2242 | -1.0519 |    1.600 |  14.2242 |   30.179 |    7.736 |    -0.681 |      30.179 |       7.736 |     -0.681 |
|         30 |   38.560 |   7.4537 | -0.4538 |    1.600 |   7.4537 |   38.203 |    5.206 |    -0.601 |      38.203 |       5.206 |     -0.601 |
|          0 |   40.690 |   6.3340 |  0.2047 |    1.600 |   6.3340 |   40.423 |    4.649 |     0.157 |      40.423 |       4.649 |      0.157 |
|        301 |   43.520 |  11.3651 | -0.1100 |    1.600 |  11.3651 |   42.629 |    8.761 |    -0.228 |      42.629 |       8.761 |     -0.228 |
|        301 |   47.620 |  11.3017 | -0.1151 |    1.600 |  11.3017 |   46.663 |    9.498 |    -0.253 |      46.663 |       9.498 |     -0.253 |
|         30 |   51.210 |   4.3506 | -0.2500 |    1.600 |   4.3506 |   51.045 |    4.094 |    -0.461 |      51.045 |       4.094 |     -0.461 |
|     215-+1 |   52.600 |  11.3721 | -0.0842 |    1.600 |  11.3721 |   51.521 |   10.597 |    -0.222 |      51.521 |      10.597 |     -0.222 |
|         70 |   47.580 |  15.3831 | -0.1107 |    1.600 |  15.3831 |   45.818 |   12.829 |    -0.243 |      45.818 |      12.829 |     -0.243 |
|         71 |   44.780 |  16.4529 | -0.1227 |    1.600 |  16.4529 |   42.878 |   12.911 |    -0.251 |      42.878 |      12.911 |     -0.251 |
|          7 |   33.710 |  23.1322 | -0.2015 |    1.600 |  23.1322 |   30.978 |   13.292 |    -0.288 |      30.978 |      13.292 |     -0.288 |
|          7 |   21.010 |  43.1408 | -1.0244 |    1.600 |  43.1408 |   15.304 |   14.389 |    -0.472 |      15.304 |      14.389 |     -0.472 |
|          7 |   16.170 |  64.4919 | -1.1820 |    1.640 |  64.4919 |    6.877 |   14.630 |    -0.497 |       6.877 |      14.630 |     -0.497 |
|          7 |   14.290 |  83.5607 | -1.0655 |    1.640 |  83.5607 |    1.509 |   14.207 |    -0.407 |       1.509 |      14.207 |     -0.407 |
|          0 |   13.200 |  93.5333 | -2.4634 |    1.640 |  93.5333 |   -0.895 |   13.154 |    -0.768 |      -0.895 |      13.154 |     -0.768 |
|          0 |   14.440 | 114.3049 | -2.5942 |    1.640 | 114.3049 |   -5.983 |   13.120 |    -0.883 |      -5.983 |      13.120 |     -0.883 |
|          7 |   17.260 | 119.3423 | -1.3754 |    1.640 | 119.3423 |   -8.515 |   15.005 |    -0.620 |      -8.515 |      15.005 |     -0.620 |
|          0 |   18.070 | 131.4600 | -1.2050 |    1.640 | 131.4600 |  -12.033 |   13.474 |    -0.554 |     -12.033 |      13.474 |     -0.554 |
|         31 |   20.420 | 138.0735 | -0.1009 |    1.640 | 138.0735 |  -15.205 |   13.630 |    -0.189 |     -15.205 |      13.630 |     -0.189 |
|         70 |   21.530 | 135.1346 | -0.1419 |    1.640 | 135.1346 |  -15.285 |   15.163 |    -0.219 |     -15.285 |      15.163 |     -0.219 |
|         30 |   19.200 | 138.4229 | -2.3550 |    1.600 | 138.4229 |  -14.411 |   12.657 |    -0.959 |     -14.411 |      12.657 |     -0.959 |
|         71 |   25.190 | 142.0453 | -0.1802 |    1.640 | 142.0453 |  -19.872 |   15.480 |    -0.261 |     -19.872 |      15.480 |     -0.261 |
|         31 |   25.810 | 143.4204 | -0.2733 |    1.640 | 143.4204 |  -20.801 |   15.279 |    -0.336 |     -20.801 |      15.279 |     -0.336 |
|         30 |   24.650 | 152.3719 | -2.1653 |    1.600 | 152.3719 |  -21.872 |   11.327 |    -1.070 |     -21.872 |      11.327 |     -1.070 |
|        999 |   38.710 | 166.0801 |  9.0221 |    0.000 | 166.0801 |  -37.115 |    9.162 |     7.593 |     -37.115 |       9.162 |      7.593 |
|          - |   53.860 |  16.3233 |  1.5459 |   99.000 |  16.3233 |   51.602 |   15.327 |   -95.688 |      51.602 |      15.327 |    -95.688 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 159       Ориентир 158      Высота инструмента i = 1.525
-----------------------------------------------------------------------------------------------------------------------------------------------
|        159 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        158 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T160 |   35.840 | 181.2528 |  0.1131 |    1.600 | 181.2528 |  -35.829 |   -0.891 |     0.045 |     -35.829 |      -0.891 |      0.045 |
|          2 |   36.100 | 183.2444 |  0.0618 |    1.640 | 183.2444 |  -36.036 |   -2.149 |    -0.049 |     -36.036 |      -2.149 |     -0.049 |
|          2 |   37.010 | 193.3400 |  0.0939 |    1.640 | 193.3400 |  -35.977 |   -8.682 |    -0.011 |     -35.977 |      -8.682 |     -0.011 |
|          5 |   38.550 | 199.2129 | -0.0806 |    1.640 | 199.2129 |  -36.370 |  -12.778 |    -0.206 |     -36.370 |     -12.778 |     -0.206 |
|          5 |   25.140 | 209.2914 | -0.0716 |    1.640 | 209.2914 |  -21.883 |  -12.375 |    -0.168 |     -21.883 |     -12.375 |     -0.168 |
|          2 |   23.620 | 201.3210 |  0.0704 |    1.640 | 201.3210 |  -21.971 |   -8.671 |    -0.066 |     -21.971 |      -8.671 |     -0.066 |
|          2 |   21.300 | 184.2506 |  0.1154 |    1.640 | 184.2506 |  -21.237 |   -1.641 |    -0.041 |     -21.237 |      -1.641 |     -0.041 |
|          2 |    8.330 | 192.1658 |  0.3745 |    1.640 | 192.1658 |   -8.139 |   -1.772 |    -0.024 |      -8.139 |      -1.772 |     -0.024 |
|          2 |   11.980 | 229.2615 |  0.2407 |    1.640 | 229.2615 |   -7.790 |   -9.101 |    -0.031 |      -7.790 |      -9.101 |     -0.031 |
|          5 |   13.990 | 246.5343 | -0.5822 |    1.640 | 246.5343 |   -5.489 |  -12.866 |    -0.353 |      -5.489 |     -12.866 |     -0.353 |
|          5 |   13.820 | 302.1328 | -0.2728 |    1.640 | 302.1328 |    7.369 |  -11.691 |    -0.225 |       7.369 |     -11.691 |     -0.225 |
|          2 |   11.570 | 311.5444 |  0.3159 |    1.640 | 311.5444 |    7.728 |   -8.610 |    -0.007 |       7.728 |      -8.610 |     -0.007 |
|          2 |   14.380 | 354.4023 |  0.3015 |    1.640 | 354.4023 |   14.317 |   -1.335 |     0.012 |      14.317 |      -1.335 |      0.012 |
|       0-30 |   17.270 |  20.2024 | -0.2213 |    1.640 |  20.2024 |   16.193 |    6.003 |    -0.227 |      16.193 |       6.003 |     -0.227 |
|         31 |   20.670 |  28.1906 |  2.0713 |    1.640 |  28.1906 |   18.184 |    9.799 |     0.650 |      18.184 |       9.799 |      0.650 |
|       0-30 |   24.990 |  13.3812 | -0.4528 |    1.640 |  13.3812 |   24.283 |    5.891 |    -0.446 |      24.283 |       5.891 |     -0.446 |
|       0-30 |   27.290 |  12.3037 | -0.5904 |    1.640 |  12.3037 |   26.638 |    5.911 |    -0.584 |      26.638 |       5.911 |     -0.584 |
|       0-31 |   26.670 |   9.3625 |  0.2939 |    1.640 |   9.3625 |   26.295 |    4.451 |     0.115 |      26.295 |       4.451 |      0.115 |
|          0 |   29.730 |  12.0459 | -0.5009 |    1.640 |  12.0459 |   29.068 |    6.223 |    -0.549 |      29.068 |       6.223 |     -0.549 |
|        000 |   32.320 |  10.3631 | -1.3106 |    1.600 |  10.3631 |   31.756 |    5.948 |    -0.931 |      31.756 |       5.948 |     -0.931 |
|          0 |   33.508 |  10.1518 | -0.5335 |    1.640 |  10.1518 |   32.969 |    5.965 |    -0.637 |      32.969 |       5.965 |     -0.637 |
|         11 |   31.130 |  16.0538 | -1.0513 |    1.640 |  16.0538 |   29.905 |    8.628 |    -0.706 |      29.905 |       8.628 |     -0.706 |
|         30 |   40.290 |   8.1512 | -0.5656 |    1.600 |   8.1512 |   39.867 |    5.783 |    -0.742 |      39.867 |       5.783 |     -0.742 |
|          0 |   43.980 |  18.4554 | -0.3132 |    1.600 |  18.4554 |   41.641 |   14.147 |    -0.478 |      41.641 |      14.147 |     -0.478 |
|          7 |   35.960 |  26.3512 | -0.2643 |    1.600 |  26.3512 |   32.157 |   16.093 |    -0.354 |      32.157 |      16.093 |     -0.354 |
|          0 |   35.250 |  24.4159 | -0.1730 |    1.600 |  24.4159 |   32.025 |   14.729 |    -0.254 |      32.025 |      14.729 |     -0.254 |
|        111 |   33.190 |  19.2157 | -1.0450 |    1.600 |  19.2157 |   31.307 |   11.004 |    -0.701 |      31.307 |      11.004 |     -0.701 |
|         11 |   30.410 |  21.3945 | -1.1157 |    1.600 |  21.3945 |   28.256 |   11.223 |    -0.711 |      28.256 |      11.223 |     -0.711 |
|        300 |   29.630 |  25.4823 | -1.0235 |    1.600 |  25.4823 |   26.671 |   12.897 |    -0.614 |      26.671 |      12.897 |     -0.614 |
|          0 |   30.940 |  27.3627 | -0.3702 |    1.600 |  27.3627 |   27.416 |   14.337 |    -0.408 |      27.416 |      14.337 |     -0.408 |
|          0 |   30.130 |  32.2513 | -0.2101 |    1.600 |  32.2513 |   25.433 |   16.153 |    -0.259 |      25.433 |      16.153 |     -0.259 |
|          7 |   28.350 |  34.4546 | -0.3600 |    1.600 |  34.4546 |   23.289 |   16.164 |    -0.372 |      23.289 |      16.164 |     -0.372 |
|          7 |   19.400 |  39.2053 | -0.4534 |    1.600 |  39.2053 |   15.001 |   12.299 |    -0.332 |      15.001 |      12.299 |     -0.332 |
|        300 |   13.600 |  38.5109 | -0.2355 |    1.640 |  38.5109 |   10.591 |    8.531 |    -0.210 |      10.591 |       8.531 |     -0.210 |
|         77 |   12.210 |  45.0345 | -0.1757 |    1.640 |  45.0345 |    8.624 |    8.643 |    -0.179 |       8.624 |       8.643 |     -0.179 |
|         70 |   12.870 |  60.5732 |  0.2600 |    1.640 |  60.5732 |    6.247 |   11.252 |    -0.018 |       6.247 |      11.252 |     -0.018 |
|         71 |   11.180 |  89.2027 |  0.3211 |    1.640 |  89.2027 |    0.129 |   11.179 |    -0.010 |       0.129 |      11.179 |     -0.010 |
|         77 |    5.410 |  94.5151 |  2.1043 |    1.640 |  94.5151 |   -0.458 |    5.387 |     0.091 |      -0.458 |       5.387 |      0.091 |
|          2 |    2.680 | 108.3507 |  1.2240 |    1.640 | 108.3507 |   -0.854 |    2.540 |    -0.051 |      -0.854 |       2.540 |     -0.051 |
|          2 |    8.430 |  27.0347 |  0.0553 |    1.640 |  27.0347 |    7.507 |    3.835 |    -0.101 |       7.507 |       3.835 |     -0.101 |
|          0 |    4.210 | 145.4130 |  1.5207 |    1.640 | 145.4130 |   -3.476 |    2.372 |     0.022 |      -3.476 |       2.372 |      0.022 |
|        301 |    3.330 | 101.4006 |  0.4924 |    1.640 | 101.4006 |   -0.673 |    3.261 |    -0.067 |      -0.673 |       3.261 |     -0.067 |
|         31 |    4.100 | 167.3515 |  1.1746 |    1.640 | 167.3515 |   -4.003 |    0.881 |    -0.022 |      -4.003 |       0.881 |     -0.022 |
|          0 |    7.990 | 149.3038 | -1.1607 |    1.640 | 149.3038 |   -6.883 |    4.053 |    -0.292 |      -6.883 |       4.053 |     -0.292 |
|          0 |    8.680 | 162.5002 |  0.1822 |    1.640 | 162.5002 |   -8.293 |    2.562 |    -0.069 |      -8.293 |       2.562 |     -0.069 |
|          0 |   10.800 | 156.3936 |  0.2213 |    1.640 | 156.3936 |   -9.916 |    4.279 |    -0.045 |      -9.916 |       4.279 |     -0.045 |
|          0 |   11.630 | 171.3532 |  1.3310 |    1.640 | 171.3532 |  -11.501 |    1.700 |     0.200 |     -11.501 |       1.700 |      0.200 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 160       Ориентир 159      Высота инструмента i = 1.529
-----------------------------------------------------------------------------------------------------------------------------------------------
|        160 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        159 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T159 |   35.833 |   0.0004 |  0.0210 |    1.600 |   0.0004 |   35.833 |    0.001 |    -0.048 |      35.833 |       0.001 |     -0.048 |
|       T161 |  100.703 | 177.2513 | -0.0735 |    1.600 | 177.2513 | -100.601 |    4.533 |    -0.293 |    -100.601 |       4.533 |     -0.293 |
|          2 |  100.940 | 178.5419 | -0.0215 |    1.600 | 178.5419 | -100.922 |    1.928 |    -0.137 |    -100.922 |       1.928 |     -0.137 |
|          2 |  101.730 | 182.3208 | -0.0422 |    1.600 | 182.3208 | -101.630 |   -4.500 |    -0.200 |    -101.630 |      -4.500 |     -0.200 |
|          5 |  101.520 | 183.3214 | -0.1056 |    1.600 | 183.3214 | -101.326 |   -6.263 |    -0.394 |    -101.326 |      -6.263 |     -0.394 |
|          5 |   85.640 | 184.2337 | -0.0435 |    1.600 | 184.2337 |  -85.388 |   -6.561 |    -0.185 |     -85.388 |      -6.561 |     -0.185 |
|          2 |   85.610 | 183.2307 | -0.0100 |    1.600 | 183.2307 |  -85.461 |   -5.055 |    -0.096 |     -85.461 |      -5.055 |     -0.096 |
|          2 |   84.560 | 178.4533 | -0.0030 |    1.600 | 178.4533 |  -84.540 |    1.831 |    -0.083 |     -84.540 |       1.831 |     -0.083 |
|          2 |   70.470 | 178.5018 |  0.0404 |    1.600 | 178.5018 |  -70.455 |    1.429 |     0.012 |     -70.455 |       1.429 |      0.012 |
|          2 |   69.890 | 184.4438 | -0.0233 |    1.600 | 184.4438 |  -69.651 |   -5.780 |    -0.123 |     -69.651 |      -5.780 |     -0.123 |
|          5 |   68.380 | 186.2134 | -0.0705 |    1.600 | 186.2134 |  -67.959 |   -7.574 |    -0.212 |     -67.959 |      -7.574 |     -0.212 |
|          5 |   53.490 | 188.4339 | -0.0934 |    1.600 | 188.4339 |  -52.870 |   -8.116 |    -0.220 |     -52.870 |      -8.116 |     -0.220 |
|          2 |   53.450 | 186.4121 | -0.0140 |    1.600 | 186.4121 |  -53.086 |   -6.226 |    -0.097 |     -53.086 |      -6.226 |     -0.097 |
|          2 |   51.880 | 179.0601 |  0.0501 |    1.640 | 179.0601 |  -51.874 |    0.815 |    -0.035 |     -51.874 |       0.815 |     -0.035 |
|         31 |   38.760 | 174.5347 | -0.0128 |    1.640 | 174.5347 |  -38.606 |    3.448 |    -0.128 |     -38.606 |       3.448 |     -0.128 |
|          2 |   36.830 | 180.0512 |  0.1107 |    1.640 | 180.0512 |  -36.830 |   -0.056 |     0.008 |     -36.830 |      -0.056 |      0.008 |
|          2 |   37.830 | 190.0357 |  0.0438 |    1.640 | 190.0357 |  -37.248 |   -6.612 |    -0.060 |     -37.248 |      -6.612 |     -0.060 |
|          5 |   36.140 | 195.5744 | -0.2009 |    1.640 | 195.5744 |  -34.746 |   -9.938 |    -0.323 |     -34.746 |      -9.938 |     -0.323 |
|          5 |   24.680 | 202.0151 | -0.1828 |    1.640 | 202.0151 |  -22.878 |   -9.257 |    -0.244 |     -22.878 |      -9.257 |     -0.244 |
|          2 |   24.200 | 196.4341 |  0.1003 |    1.640 | 196.4341 |  -23.176 |   -6.965 |    -0.040 |     -23.176 |      -6.965 |     -0.040 |
|          2 |   21.520 | 181.0619 |  0.1316 |    1.640 | 181.0619 |  -21.516 |   -0.415 |    -0.028 |     -21.516 |      -0.415 |     -0.028 |
|         31 |   21.980 | 171.3138 | -0.3211 |    1.640 | 171.3138 |  -21.739 |    3.238 |    -0.317 |     -21.739 |       3.238 |     -0.317 |
|        031 |   12.590 | 158.1810 | -1.1023 |    1.640 | 158.1810 |  -11.696 |    4.654 |    -0.369 |     -11.696 |       4.654 |     -0.369 |
|          2 |    9.420 | 183.5157 |  0.1609 |    1.640 | 183.5157 |   -9.398 |   -0.635 |    -0.067 |      -9.398 |      -0.635 |     -0.067 |
|          2 |   11.800 | 221.0613 |  0.1503 |    1.640 | 221.0613 |   -8.891 |   -7.758 |    -0.059 |      -8.891 |      -7.758 |     -0.059 |
|          5 |   14.970 | 229.5621 | -0.4039 |    1.640 | 229.5621 |   -9.634 |  -11.457 |    -0.288 |      -9.634 |     -11.457 |     -0.288 |
|        031 |    5.660 | 126.1225 | -2.5139 |    1.600 | 126.1225 |   -3.339 |    4.561 |    -0.353 |      -3.339 |       4.561 |     -0.353 |
|          0 |    4.830 |  78.3154 | -3.4309 |    1.600 |  78.3154 |    0.958 |    4.724 |    -0.384 |       0.958 |       4.724 |     -0.384 |
|         30 |    6.090 |  64.1710 | -4.3304 |    1.640 |  64.1710 |    2.634 |    5.470 |    -0.594 |       2.634 |       5.470 |     -0.594 |
|          0 |    8.570 |  31.3306 | -2.5335 |    1.640 |  31.3306 |    7.294 |    4.479 |    -0.544 |       7.294 |       4.479 |     -0.544 |
|         31 |    9.470 |  22.4054 |  0.5026 |    1.640 |  22.4054 |    8.737 |    3.651 |     0.028 |       8.737 |       3.651 |      0.028 |
|         31 |   19.130 |   7.3358 |  0.0416 |    1.640 |   7.3358 |   18.963 |    2.519 |    -0.087 |      18.963 |       2.519 |     -0.087 |
|         77 |   20.510 |  15.4300 |  0.0807 |    1.640 |  15.4300 |   19.743 |    5.556 |    -0.063 |      19.743 |       5.556 |     -0.063 |
|         11 |   16.740 |  19.0551 | -1.1944 |    1.640 |  19.0551 |   15.814 |    5.475 |    -0.499 |      15.814 |       5.475 |     -0.499 |
|         11 |   18.690 |  24.4019 | -1.2411 |    1.640 |  24.4019 |   16.979 |    7.799 |    -0.569 |      16.979 |       7.799 |     -0.569 |
|         77 |   19.410 |  25.2330 | -0.4410 |    1.640 |  25.2330 |   17.534 |    8.322 |    -0.360 |      17.534 |       8.322 |     -0.360 |
|        111 |   16.070 |  28.4647 | -1.1702 |    1.640 |  28.4647 |   14.081 |    7.735 |    -0.471 |      14.081 |       7.735 |     -0.471 |
|         77 |   15.870 |  35.5028 | -1.1524 |    1.640 |  35.5028 |   12.862 |    9.290 |    -0.459 |      12.862 |       9.290 |     -0.459 |
|          0 |   14.130 |  33.5800 | -1.0019 |    1.640 |  33.5800 |   11.717 |    7.893 |    -0.359 |      11.717 |       7.893 |     -0.359 |
|          0 |   12.360 |  40.5937 | -1.4319 |    1.640 |  40.5937 |    9.325 |    8.104 |    -0.482 |       9.325 |       8.104 |     -0.482 |
|          0 |    8.270 |  92.4454 | -1.3034 |    1.640 |  92.4454 |   -0.396 |    8.258 |    -0.329 |      -0.396 |       8.258 |     -0.329 |
|         77 |    9.970 |  83.2901 | -1.2642 |    1.640 |  83.2901 |    1.131 |    9.902 |    -0.362 |       1.131 |       9.902 |     -0.362 |
|         77 |   11.020 |  86.1617 |  0.1224 |    1.640 |  86.1617 |    0.717 |   10.997 |    -0.071 |       0.717 |      10.997 |     -0.071 |
|          7 |   15.740 | 131.2508 | -0.4409 |    1.640 | 131.2508 |  -10.412 |   11.802 |    -0.313 |     -10.412 |      11.802 |     -0.313 |
|          7 |   25.880 | 150.1927 | -0.1951 |    1.640 | 150.1927 |  -22.485 |   12.813 |    -0.260 |     -22.485 |      12.813 |     -0.260 |
|         30 |   23.730 | 166.5706 | -1.3619 |    1.640 | 166.5706 |  -23.108 |    5.355 |    -0.776 |     -23.108 |       5.355 |     -0.776 |
|         11 |   30.220 | 161.2633 | -0.5403 |    1.640 | 161.2633 |  -28.645 |    9.617 |    -0.586 |     -28.645 |       9.617 |     -0.586 |
|         30 |   36.500 | 168.3105 | -1.1153 |    1.600 | 168.3105 |  -35.762 |    7.264 |    -0.834 |     -35.762 |       7.264 |     -0.834 |
|          7 |   42.850 | 161.0014 | -0.1715 |    1.600 | 161.0014 |  -40.516 |   13.948 |    -0.286 |     -40.516 |      13.948 |     -0.286 |
|          7 |   53.570 | 164.0129 | -0.1705 |    1.600 | 164.0129 |  -51.501 |   14.743 |    -0.337 |     -51.501 |      14.743 |     -0.337 |
|         30 |   51.820 | 171.0305 | -0.4307 |    1.600 | 171.0305 |  -51.185 |    8.060 |    -0.721 |     -51.185 |       8.060 |     -0.721 |
|          0 |   52.710 | 171.5205 | -0.1720 |    1.600 | 171.5205 |  -52.179 |    7.456 |    -0.337 |     -52.179 |       7.456 |     -0.337 |
|         30 |   66.460 | 172.4723 | -0.3805 |    1.600 | 172.4723 |  -65.930 |    8.341 |    -0.807 |     -65.930 |       8.341 |     -0.807 |
|          7 |   66.030 | 166.1730 | -0.1440 |    1.600 | 166.1730 |  -64.149 |   15.648 |    -0.353 |     -64.149 |      15.648 |     -0.353 |
-----------------------------------------------------------------------------------------------------------------------------------------------
                                   Станция 161       Ориентир 160      Высота инструмента i = 1.578
-----------------------------------------------------------------------------------------------------------------------------------------------
|        161 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |      0.000 |
|        160 |          |          |         |          |          |          |          |           |       0.000 |       0.000 |            |
|       T160 |  100.701 |   0.0001 |  0.1028 |    1.600 |   0.0001 |  100.701 |    0.000 |     0.285 |     100.701 |       0.000 |      0.285 |
|       T162 |   52.561 | 178.0232 | -0.1205 |    1.600 | 178.0232 |  -52.530 |    1.796 |    -0.207 |     -52.530 |       1.796 |     -0.207 |
|         31 |   46.420 | 177.2326 | -0.1446 |    1.600 | 177.2326 |  -46.371 |    2.113 |    -0.221 |     -46.371 |       2.113 |     -0.221 |
|          2 |   44.670 | 183.5927 |  0.0906 |    1.640 | 183.5927 |  -44.562 |   -3.109 |     0.056 |     -44.562 |      -3.109 |      0.056 |
|          2 |   42.690 | 193.5335 |  0.0752 |    1.640 | 193.5335 |  -41.441 |  -10.250 |     0.036 |     -41.441 |     -10.250 |      0.036 |
|          5 |   39.400 | 198.1923 | -0.0834 |    1.600 | 198.1923 |  -37.402 |  -12.386 |    -0.120 |     -37.402 |     -12.386 |     -0.120 |
|          5 |   27.390 | 205.2618 | -0.0721 |    1.640 | 205.2618 |  -24.734 |  -11.765 |    -0.121 |     -24.734 |     -11.765 |     -0.121 |
|          2 |   26.300 | 201.3446 |  0.1620 |    1.640 | 201.3446 |  -24.456 |   -9.673 |     0.063 |     -24.456 |      -9.673 |      0.063 |
|          2 |   24.200 | 186.0141 |  0.3344 |    1.640 | 186.0141 |  -24.065 |   -2.541 |     0.175 |     -24.065 |      -2.541 |      0.175 |
|         31 |   23.160 | 174.0540 | -0.0418 |    1.640 | 174.0540 |  -23.037 |    2.383 |    -0.091 |     -23.037 |       2.383 |     -0.091 |
|         31 |    9.450 | 167.5400 |  1.0201 |    1.640 | 167.5400 |   -9.239 |    1.981 |     0.108 |      -9.239 |       1.981 |      0.108 |
|          2 |    2.730 | 194.4503 |  1.1152 |    1.640 | 194.4503 |   -2.639 |   -0.695 |    -0.005 |      -2.639 |      -0.695 |     -0.005 |
|          2 |   13.350 | 223.2609 |  0.3541 |    1.640 | 223.2609 |   -9.694 |   -9.178 |     0.077 |      -9.694 |      -9.178 |      0.077 |
|          5 |   15.900 | 227.4408 | -0.1145 |    1.640 | 227.4408 |  -10.694 |  -11.767 |    -0.116 |     -10.694 |     -11.767 |     -0.116 |
|          0 |    9.970 | 153.3536 | -3.1919 |    1.640 | 153.3536 |   -8.915 |    4.427 |    -0.640 |      -8.915 |       4.427 |     -0.640 |
|          0 |    5.290 | 116.3201 | -4.5302 |    1.640 | 116.3201 |   -2.355 |    4.716 |    -0.512 |      -2.355 |       4.716 |     -0.512 |
|         31 |    5.330 |  36.4008 | -1.2847 |    1.640 |  36.4008 |    4.274 |    3.182 |    -0.200 |       4.274 |       3.182 |     -0.200 |
|          0 |    8.065 |  36.1616 | -3.4325 |    1.640 |  36.1616 |    6.488 |    4.761 |    -0.586 |       6.488 |       4.761 |     -0.586 |
|          0 |   16.310 |  17.3613 | -1.2151 |    1.640 |  17.3613 |   15.542 |    4.931 |    -0.450 |      15.542 |       4.931 |     -0.450 |
|         30 |   26.980 |  10.1326 | -0.4538 |    1.640 |  10.1326 |   26.549 |    4.788 |    -0.420 |      26.549 |       4.788 |     -0.420 |
|         11 |   29.760 |  17.4634 | -0.1950 |    1.640 |  17.4634 |   28.339 |    9.086 |    -0.234 |      28.339 |       9.086 |     -0.234 |
|          7 |   32.590 |  23.1245 |  0.1121 |    1.640 |  23.1245 |   29.952 |   12.845 |     0.046 |      29.952 |      12.845 |      0.046 |
|         +0 |   24.330 |  32.5316 |  0.0625 |    1.640 |  32.5316 |   20.431 |   13.211 |    -0.017 |      20.431 |      13.211 |     -0.017 |
|          - |   16.030 |  57.1556 | -0.5600 |    1.640 |  57.1556 |    8.667 |   13.482 |    -0.323 |       8.667 |      13.482 |     -0.323 |
|         +1 |   14.790 | 110.1313 | -1.2221 |    1.640 | 110.1313 |   -5.110 |   13.875 |    -0.416 |      -5.110 |      13.875 |     -0.416 |
|          3 |   14.380 | 126.5907 | -0.1708 |    1.640 | 126.5907 |   -8.651 |   11.486 |    -0.134 |      -8.651 |      11.486 |     -0.134 |
|         11 |   16.030 | 145.0118 | -0.5231 |    1.640 | 145.0118 |  -13.133 |    9.188 |    -0.307 |     -13.133 |       9.188 |     -0.307 |
|         +0 |   25.500 | 146.3335 | -0.5232 |    1.600 | 146.3335 |  -21.276 |   14.051 |    -0.412 |     -21.276 |      14.051 |     -0.412 |
|         +0 |   25.720 | 146.1117 |  1.3953 |   99.000 | 146.1117 |  -21.361 |   14.306 |   -96.675 |     -21.361 |      14.306 |    -96.675 |
|          - |   37.830 | 157.2924 | -0.5610 |    1.600 | 157.2924 |  -34.943 |   14.481 |    -0.640 |     -34.943 |      14.481 |     -0.640 |
|          - |   48.680 | 162.3011 | -0.5511 |    1.600 | 162.3011 |  -46.422 |   14.634 |    -0.803 |     -46.422 |      14.634 |     -0.803 |
